date,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_kmh,miss_distance_km,is_potentially_hazardous
2024-08-17,54376898,(2023 PZ),29.12,0.0039861623,0.0089133299,34216.5814599967,43052567.539237013,False
2024-08-17,54465303,(2024 OY2),25.14,0.0249203981,0.0557237043,20608.5951031501,1644556.073170008,False
2024-08-17,54466389,(2024 QB),24.94,0.0273246732,0.0610998267,30997.5448921033,8545033.954668454,False
2024-08-17,54467168,(2024 QV),25.47,0.021406959,0.0478674154,17318.6630570939,15621125.254473084,False
2024-08-17,54467480,(2024 QQ1),21.7,0.1214940408,0.2716689341,72875.3483556734,52816516.650943469,False
2024-08-18,3727180,(2015 RE36),22.14,0.0992098919,0.2218400624,17633.7499207585,57184863.690072924,False
2024-08-18,3773653,(2017 FL128),22.21,0.0960627415,0.2148028201,47005.0058705947,48395813.91774332,False
2024-08-18,3799303,(2018 CY2),22.45,0.086011194,0.1923268766,47341.1586607463,46711288.614782026,False
2024-08-18,3841760,(2019 JX2),24.57,0.0324007435,0.0724502651,70475.4107865788,69497477.110982049,False
2024-08-18,3843611,(2019 QU1),23.79,0.0464039528,0.1037623929,43165.6858617055,32735783.702645704,False
2024-08-18,54054448,(2020 SN),24.8,0.0291443905,0.0651688382,53516.3595666545,49569076.771506606,False
2024-08-18,54075312,(2020 UN1),25.4,0.022108281,0.0494356193,25307.8643609997,32299665.026497833,False
2024-08-18,54105517,(2021 AV5),26.56,0.0129585073,0.0289761031,29301.4809608396,56170977.844272603,False
2024-08-18,54122533,(2021 CF10),24.24,0.0377185489,0.0843412394,38514.9608681544,66085701.15891023,False
2024-08-18,54161735,(2021 MC1),20.08,0.2561857545,0.5728487619,61281.9500867449,48269036.978415015,False
2024-08-18,54192214,(2021 RE2),27.44,0.0086408204,0.0193214617,37700.3442944063,32987220.666723305,False
2024-08-18,54465224,(2024 NE4),22.94,0.0686364759,0.1534758258,28342.5547051229,23524217.979050311,False
2024-08-18,54467103,(2024 QH),24.95,0.0271991277,0.0608190985,34009.8351441447,4529683.988626438,False
2024-08-18,54467104,(2024 QJ),27.08,0.0101989386,0.02280552,10553.6401161071,2658990.793555359,False
